date,station,daily_rainfall_total,highest_30_min_rainfall,highest_60_min_rainfall,highest_120_min_rainfall,mean_temperature,maximum_temperature,minimum_temperature,mean_wind_speed,max_wind_speed
2009-01-01,Admiralty,na,na,na,na,na,na,na,na,na
2009-01-02,Admiralty,na,na,na,na,na,na,na,na,na
2009-01-03,Admiralty,na,na,na,na,na,na,na,na,na
2009-01-04,Admiralty,na,na,na,na,na,na,na,na,na
2009-01-05,Admiralty,na,na,na,na,na,na,na,na,na
2009-01-06,Admiralty,na,na,na,na,na,na,na,na,na
2009-01-07,Admiralty,na,na,na,na,na,na,na,na,na
2009-01-08,Admiralty,na,na,na,na,na,na,na,na,na
2009-01-09,Admiralty,na,na,na,na,na,na,na,na,na
2009-01-10,Admiralty,na,na,na,na,na,na,na,na,na
2009-01-11,Admiralty,na,na,na,na,na,na,na,na,na
2009-01-12,Admiralty,na,na,na,na,na,na,na,na,na
2009-01-13,Admiralty,na,na,na,na,na,na,na,na,na
2009-01-14,Admiralty,na,na,na,na,na,na,na,na,na
2009-01-15,Admiralty,na,na,na,na,na,na,na,na,na
2009-01-16,Admiralty,na,na,na,na,na,na,na,na,na
2009-01-17,Admiralty,na,na,na,na,na,na,na,na,na
2009-01-18,Admiralty,na,na,na,na,na,na,na,na,na
2009-01-19,Admiralty,na,na,na,na,na,na,na,na,na
2009-01-20,Admiralty,na,na,na,na,na,na,na,na,na
2009-01-21,Admiralty,na,na,na,na,na,na,na,na,na
2009-01-22,Admiralty,0,na,na,na,na,31.5,23.3,11.1,31.7
2009-01-23,Admiralty,0,na,na,na,na,31.9,23.8,11.4,36
2009-01-24,Admiralty,0,na,na,na,26.8,31.4,24.4,11.7,38.2
2009-01-25,Admiralty,0.8,na,na,na,25.9,27.8,24.4,12.7,38.2
2009-01-26,Admiralty,0,na,na,na,25.9,29.6,23.7,12.4,42.5
2009-01-27,Admiralty,0,na,na,na,na,30.2,23.7,10.4,38.9
2009-01-28,Admiralty,0,na,na,na,26.6,31.9,23.7,10.3,32.4
2009-01-29,Admiralty,0,na,na,na,26.3,30,23.9,11.3,33.5
2009-01-30,Admiralty,0,na,na,na,26.5,30.9,24.2,9.6,31.3
2009-01-31,Admiralty,0,na,na,na,26.4,29.9,24.8,11.4,41.8
2009-02-01,Admiralty,0,na,na,na,26.2,29.1,24.7,13.3,41.4
2009-02-02,Admiralty,0,na,na,na,26.7,31,23.8,9.9,40.7
2009-02-03,Admiralty,0,na,na,na,26.2,30.4,23.5,10.7,31.7
2009-02-04,Admiralty,2.8,na,na,na,26.1,30.4,23.9,8.8,41.4
2009-02-05,Admiralty,0,na,na,na,26.2,30,23.9,11,33.5
2009-02-06,Admiralty,0,na,na,na,26.3,30.4,23.7,11.6,35.3
2009-02-07,Admiralty,0,na,na,na,26,30.4,23.6,11.1,35.3
2009-02-08,Admiralty,0,na,na,na,26.8,31.9,23.8,11.3,32
2009-02-09,Admiralty,0,na,na,na,26.8,31.8,23.7,13.4,38.2
2009-02-10,Admiralty,0,na,na,na,27.1,32,24,10.8,28.1
2009-02-11,Admiralty,21.6,na,na,na,26.4,32,24.4,8.6,30.2
2009-02-12,Admiralty,0.2,na,na,na,27.1,32,24.7,6.5,31
2009-02-13,Admiralty,0,na,na,na,28,33,25.4,9,29.2
2009-02-14,Admiralty,0,na,na,na,27.8,31.9,24.9,8.1,32.4
2009-02-15,Admiralty,0,na,na,na,28.6,32.6,25.5,8.5,40.3
2009-02-16,Admiralty,22,na,na,na,27.4,33.4,26,8.3,38.2
2009-02-17,Admiralty,0,na,na,na,27.8,32.1,25.1,12,38.2
2009-02-18,Admiralty,0,na,na,na,27.4,32.4,24.6,12.2,40
2009-02-19,Admiralty,0,na,na,na,27.3,32.1,24.4,12.9,39.6
2009-02-20,Admiralty,0,na,na,na,27.4,32.1,24.5,11.5,36.7
2009-02-21,Admiralty,0.4,na,na,na,26.9,31.6,25.2,8.6,34.9
2009-02-22,Admiralty,14.6,na,na,na,26.1,31.7,23.1,8.5,41.4
2009-02-23,Admiralty,28.8,na,na,na,25.9,30.9,23.4,6.9,47.5
2009-02-24,Admiralty,7.8,na,na,na,25,27.8,23.4,6.9,29.9
2009-02-25,Admiralty,39.4,na,na,na,26.3,32.6,23,6.3,42.8
2009-02-26,Admiralty,2,na,na,na,26,30.6,24.2,6.6,27.4
2009-02-27,Admiralty,0,na,na,na,26.9,31.1,24.7,7.6,26.3
2009-02-28,Admiralty,8.4,na,na,na,26.8,33.1,24.2,6.9,40
2009-03-01,Admiralty,9.2,na,na,na,26.6,32.1,24.1,7.5,38.5
2009-03-02,Admiralty,41.2,na,na,na,27,32.9,23.9,7.4,30.2
2009-03-03,Admiralty,2.6,na,na,na,25.2,27.3,22.2,7.8,47.5
2009-03-04,Admiralty,10.2,na,na,na,27.2,34.1,24,6.9,36.4
2009-03-05,Admiralty,21.6,na,na,na,27.1,31.9,23.5,8,44.6
2009-03-06,Admiralty,0,na,na,na,27.7,32.8,23.5,7.4,34.2
2009-03-07,Admiralty,1.8,na,na,na,27.2,32.2,25.6,5.9,36.7
2009-03-08,Admiralty,0,na,na,na,27.9,33.6,24.6,7.9,31
2009-03-09,Admiralty,142,na,na,na,24.8,28.4,22.9,9.6,35.3
2009-03-10,Admiralty,0,na,na,na,27,32.2,22.7,6.5,32
2009-03-11,Admiralty,3.8,na,na,na,26.6,31.2,25,6.2,37.4
2009-03-12,Admiralty,1.4,na,na,na,27.5,34,24.4,7.2,31.7
2009-03-13,Admiralty,0.8,na,na,na,26.3,30.5,25.1,7.5,40.7
2009-03-14,Admiralty,20.4,na,na,na,26.1,33.6,23.9,7.4,40
2009-03-15,Admiralty,2.8,na,na,na,25.8,31.6,23.7,6.6,31.3
2009-03-16,Admiralty,5.2,na,na,na,25.5,28.6,24.2,5.2,25.9
2009-03-17,Admiralty,1.6,na,na,na,27.3,33.2,24,6.5,26.3
2009-03-18,Admiralty,6,na,na,na,28.1,33.5,23.3,9.4,51.5
2009-03-19,Admiralty,0.2,na,na,na,na,33.1,23.2,7.7,44.6
2009-03-20,Admiralty,na,na,na,na,na,na,na,6.9,29.2
2009-03-21,Admiralty,12.8,na,na,na,26.5,32.6,23.6,6.6,38.2
2009-03-22,Admiralty,0,na,na,na,26.2,30.4,23.1,6.3,41.4
2009-03-23,Admiralty,0,na,na,na,28,33.4,24.5,7.7,28.1
2009-03-24,Admiralty,7,na,na,na,26.3,29.1,23.2,7.3,55.8
2009-03-25,Admiralty,20.6,na,na,na,27.2,34.5,24.6,5.7,36.4
2009-03-26,Admiralty,6.8,na,na,na,27.6,33.4,24.9,6.1,32.8
2009-03-27,Admiralty,0.2,na,na,na,28.4,33.5,25.4,5.7,24.8
2009-03-28,Admiralty,0,na,na,na,27.7,31.5,25,7.6,31.3
2009-03-29,Admiralty,29.6,na,na,na,26.9,33.9,22.7,7.3,36.7
2009-03-30,Admiralty,0.2,na,na,na,27.1,31.6,24.7,8.6,28.8
